# GRID_PARAMS_SHA256=08cbc6a34a9afef49b986a788fa2ab76e40a6560552f5ee9375a06b948e2d866
# GRID_PARAMS_JSON={"alpha":0.5,"boundary_condition":"fixed_resampled_boundaries","gamma":2.0,"generator":"periodic_hill_steger_sorenson","hill_shape":{"ly":9.0,"profile":"Mellen-Frohlich-Rodi periodic hill polynomial","reference_height":1.0,"scale":1.9285714285714286},"interpolation":{"boundary":"scipy_cubic","pq":"scipy_rect_bivariate_spline"},"ly":9.0,"lz":3.036,"mode":"adaptive_poisson","ni":129,"nj":65,"poisson":{"control_functions":"reverse_computed_PQ","max_iter":100000,"omega":1.0,"print_every":2000,"require_converged":true,"tol":1e-12},"reference_grid":"3.fine grid.dat","schema":1,"vertical_redistribution":"physical_z_vinokur_tanh"}
TITLE     = "Periodic hill 129x65"
VARIABLES = "x corner"
"y corner"
ZONE T="I129_J65_g2.00_a0.5"
 I=129, J=65, K=1,F=POINT
DT=(SINGLE SINGLE )
 -1.164150026E-10  2.800000086E-02
  1.378127721E-03  2.799988716E-02
  2.756257932E-03  2.799985505E-02
  4.134577991E-03  2.796625525E-02
  5.512844455E-03  2.784996506E-02
  6.891920540E-03  2.762628746E-02
  8.270541207E-03  2.726158259E-02
  9.649749933E-03  2.672293965E-02
  1.102755271E-02  2.600834908E-02
  1.240517434E-02  2.514541149E-02
  1.378316558E-02  2.416337895E-02
  1.516748195E-02  2.308687420E-02
  1.657355398E-02  2.192850097E-02
  1.799814533E-02  2.071608376E-02
  1.944479935E-02  1.947364550E-02
  2.091177450E-02  1.823101895E-02
  2.240094494E-02  1.699770230E-02
  2.391081267E-02  1.577237613E-02
  2.544349941E-02  1.454992497E-02
  2.699739671E-02  1.332817026E-02
  2.857472819E-02  1.210125533E-02
  3.017380341E-02  1.086595611E-02
  3.179656565E-02  9.621098976E-03
  3.344223715E-02  8.381344819E-03
  3.511187224E-02  7.164023006E-03
  3.680541982E-02  5.988863644E-03
  3.852393270E-02  4.876544355E-03
  4.026669839E-02  3.850405516E-03
  4.203602159E-02  2.928968267E-03
  4.382970006E-02  2.121495399E-03
  4.565065053E-02  1.433211429E-03
  4.749688934E-02  8.715461536E-04
  4.937040061E-02  4.427660024E-04
  5.127119491E-02  1.543427204E-04
  5.319863796E-02  1.355650831E-05
  5.515540482E-02 -1.913368042E-07
  5.713847466E-02 -1.028210947E-08
  5.915169772E-02  3.301058382E-09
  6.119284310E-02  2.729736732E-10
  6.326433819E-02 -5.414312922E-11
  6.536540016E-02 -6.383938517E-12
  6.749672186E-02  8.301380416E-13
  6.965934951E-02  1.385939974E-13
  7.185238414E-02 -1.148213469E-14
  7.407832239E-02 -2.853620118E-15
  7.633481267E-02  1.318389842E-16
  7.862600079E-02  5.551115123E-17
  8.094775211E-02  1.734723476E-18
  8.330610022E-02  1.734723476E-18
  8.569536591E-02 -1.734723476E-18
  8.812245214E-02  0.000000000E+00
  9.058170906E-02  0.000000000E+00
  9.307893645E-02  1.734723476E-18
  9.561037575E-02 -1.734723476E-18
  9.817980742E-02  0.000000000E+00
  1.007854447E-01  0.000000000E+00
  1.034291983E-01  0.000000000E+00
  1.061111654E-01  0.000000000E+00
  1.088313624E-01  0.000000000E+00
  1.115919740E-01  0.000000000E+00
  1.143908985E-01  0.000000000E+00
  1.172323464E-01  0.000000000E+00
  1.201121322E-01  0.000000000E+00
  1.230369478E-01  0.000000000E+00
  1.260001063E-01  0.000000000E+00
  1.289631492E-01  0.000000000E+00
  1.318879687E-01  0.000000000E+00
  1.347677545E-01  0.000000000E+00
  1.376092881E-01  0.000000000E+00
  1.404081294E-01  0.000000000E+00
  1.431687400E-01  0.000000000E+00
  1.458889376E-01  0.000000000E+00
  1.485708989E-01  0.000000000E+00
  1.512146578E-01  0.000000000E+00
  1.538202986E-01  0.000000000E+00
  1.563897188E-01 -3.469446952E-18
  1.589211598E-01  3.469446952E-18
  1.614183918E-01  0.000000000E+00
  1.638776520E-01  0.000000000E+00
  1.663047425E-01  0.000000000E+00
  1.686940044E-01  0.000000000E+00
  1.710524499E-01  3.469446952E-18
  1.733740960E-01  5.551115123E-17
  1.756652883E-01  1.318389842E-16
  1.779217738E-01 -2.844946501E-15
  1.801477168E-01 -1.145611384E-14
  1.823407514E-01  1.382574610E-13
  1.845033774E-01  8.281292319E-13
  1.866347715E-01 -6.369231531E-12
  1.887357617E-01 -5.401172565E-11
  1.908072541E-01  2.723157186E-10
  1.928484057E-01  3.293094214E-09
  1.948617110E-01 -1.025842455E-08
  1.968446983E-01 -1.908730142E-07
  1.988014630E-01  1.355424699E-05
  2.007289019E-01  1.543579547E-04
  2.026297003E-01  4.427859967E-04
  2.045032657E-01  8.715765544E-04
  2.063494541E-01  1.433252825E-03
  2.081704061E-01  2.121550038E-03
  2.099641623E-01  2.929015317E-03
  2.117334041E-01  3.850464178E-03
  2.134761735E-01  4.876623939E-03
  2.151946847E-01  5.988939696E-03
  2.168882540E-01  7.164106639E-03
  2.185579663E-01  8.381433352E-03
  2.202035987E-01  9.621191087E-03
  2.218263003E-01  1.086605771E-02
  2.234253737E-01  1.210136000E-02
  2.250027899E-01  1.332826646E-02
  2.265565900E-01  1.455003157E-02
  2.280892881E-01  1.577247476E-02
  2.295991540E-01  1.699780105E-02
  2.310883208E-01  1.823111989E-02
  2.325553590E-01  1.947374571E-02
  2.340020469E-01  2.071618206E-02
  2.354265356E-01  2.192868234E-02
  2.368327104E-01  2.308696403E-02
  2.382169268E-01  2.416349480E-02
  2.395949318E-01  2.514543071E-02
  2.409725546E-01  2.600836829E-02
  2.423503468E-01  2.672305752E-02
  2.437295686E-01  2.726158615E-02
  2.451081814E-01  2.762636753E-02
  2.464872627E-01  2.784996197E-02
  2.478655289E-01  2.796625431E-02
  2.492438495E-01  2.799985507E-02
  2.506219652E-01  2.799988718E-02
  2.520000935E-01  2.800000086E-02
 -1.047740006E-09  2.850293413E-02
  1.379950218E-03  2.850282144E-02
  2.764590482E-03  2.850278960E-02
  4.164785160E-03  2.846948627E-02
  5.576179484E-03  2.835422215E-02
  7.000182670E-03  2.813251815E-02
  8.434626439E-03  2.777103122E-02
  9.876611471E-03  2.723714093E-02
  1.131734249E-02  2.652885547E-02
  1.274878883E-02  2.567353192E-02
  1.417063512E-02  2.470016423E-02
  1.559225657E-02  2.363315791E-02
  1.702617543E-02  2.248500546E-02
  1.847023795E-02  2.128328588E-02
  1.992690620E-02  2.005181013E-02
  2.139338661E-02  1.882014776E-02
  2.288696328E-02  1.759771315E-02
  2.439712632E-02  1.638319851E-02
  2.592983285E-02  1.517153351E-02
  2.748534592E-02  1.396055883E-02
  2.906364218E-02  1.274446945E-02
  3.067070268E-02  1.152006976E-02
  3.229487942E-02  1.028619648E-02
  3.393377853E-02  9.057381159E-03
  3.559082332E-02  7.850800252E-03
  3.726611971E-02  6.686009780E-03
  3.895247206E-02  5.583504918E-03
  4.065816065E-02  4.566420103E-03
  4.238450497E-02  3.653113055E-03
  4.413027740E-02  2.852764835E-03
  4.590008337E-02  2.170553865E-03
  4.769362065E-02  1.613844381E-03
  4.951460116E-02  1.188847525E-03
  5.135999232E-02  9.029691139E-04
  5.323489221E-02  7.634251135E-04
  5.516520719E-02  7.497985710E-04
  5.714592139E-02  7.499780282E-04
  5.915770681E-02  7.499914915E-04
  6.119601731E-02  7.499884902E-04
  6.326596808E-02  7.499881659E-04
  6.536889025E-02  7.499882133E-04
  6.749911864E-02  7.499882204E-04
  6.965983689E-02  7.499882197E-04
  7.185255682E-02  7.499882196E-04
  7.407951958E-02  7.499882196E-04
  7.633624500E-02  7.499882196E-04
  7.862660041E-02  7.499882196E-04
  8.094825667E-02  7.499882196E-04
  8.330411982E-02  7.499882196E-04
  8.569596900E-02  7.499882196E-04
  8.812355547E-02  7.499882196E-04
  9.058125419E-02  7.499882196E-04
  9.307992269E-02  7.499882196E-04
  9.561249056E-02  7.499882196E-04
  9.818075934E-02  7.499882196E-04
  1.007849553E-01  7.499882196E-04
  1.034287170E-01  7.499882196E-04
  1.061117723E-01  7.499882196E-04
  1.088289047E-01  7.499882196E-04
  1.115894455E-01  7.499882196E-04
  1.143895420E-01  7.499882196E-04
  1.172286846E-01  7.499882196E-04
  1.201105641E-01  7.499882196E-04
  1.230350803E-01  7.499882196E-04
  1.259941742E-01  7.499882196E-04
  1.289605182E-01  7.499882196E-04
  1.318863291E-01  7.499882196E-04
  1.347642157E-01  7.499882196E-04
  1.376071911E-01  7.499882196E-04
  1.404065898E-01  7.499882196E-04
  1.431669971E-01  7.499882196E-04
  1.458875406E-01  7.499882196E-04
  1.485695336E-01  7.499882196E-04
  1.512122869E-01  7.499882196E-04
  1.538170502E-01  7.499882196E-04
  1.563871512E-01  7.499882196E-04
  1.589187022E-01  7.499882196E-04
  1.614156208E-01  7.499882196E-04
  1.638719681E-01  7.499882196E-04
  1.663005008E-01  7.499882196E-04
  1.686865589E-01  7.499882196E-04
  1.710472217E-01  7.499882196E-04
  1.733706955E-01  7.499882196E-04
  1.756608438E-01  7.499882196E-04
  1.779194835E-01  7.499882196E-04
  1.801435990E-01  7.499882196E-04
  1.823368844E-01  7.499882197E-04
  1.844993779E-01  7.499882204E-04
  1.866307955E-01  7.499882133E-04
  1.887323099E-01  7.499881661E-04
  1.908032809E-01  7.499884895E-04
  1.928429406E-01  7.499914836E-04
  1.948543695E-01  7.499780517E-04
  1.968359822E-01  7.497990307E-04
  1.987657378E-01  7.634228722E-04
  2.006408789E-01  9.029842137E-04
  2.024837991E-01  1.188867342E-03
  2.043049970E-01  1.613874514E-03
  2.060992862E-01  2.170594895E-03
  2.078670736E-01  2.852818993E-03
  2.096154038E-01  3.653159690E-03
  2.113429547E-01  4.566478248E-03
  2.130482315E-01  5.583583800E-03
  2.147346887E-01  6.686085161E-03
  2.164111763E-01  7.850883146E-03
  2.180667362E-01  9.057468911E-03
  2.197082899E-01  1.028628778E-02
  2.213352469E-01  1.152017046E-02
  2.229354189E-01  1.274457319E-02
  2.245156596E-01  1.396065418E-02
  2.260676490E-01  1.517163918E-02
  2.275989672E-01  1.638329628E-02
  2.291143912E-01  1.759781103E-02
  2.306025135E-01  1.882024782E-02
  2.320704176E-01  2.005190946E-02
  2.335282963E-01  2.128338331E-02
  2.349722386E-01  2.248518523E-02
  2.364034309E-01  2.363324695E-02
  2.378271732E-01  2.470027906E-02
  2.392519533E-01  2.567355097E-02
  2.406825774E-01  2.652887452E-02
  2.421232768E-01  2.723725776E-02
  2.435656104E-01  2.777103474E-02
  2.449998174E-01  2.813259751E-02
  2.464237181E-01  2.835421909E-02
  2.478338895E-01  2.846948534E-02
  2.492336289E-01  2.850278963E-02
  2.506199680E-01  2.850282146E-02
  2.520000041E-01  2.850293413E-02
 -1.047740006E-09  2.902993935E-02
  1.385056710E-03  2.902982771E-02
  2.779756778E-03  2.902979617E-02
  4.202142154E-03  2.899680349E-02
  5.646701717E-03  2.888261456E-02
  7.114131221E-03  2.866297861E-02
  8.601928010E-03  2.830486364E-02
  1.010348302E-02  2.777595348E-02
  1.160317072E-02  2.707427492E-02
  1.308687040E-02  2.622692983E-02
  1.455236899E-02  2.526264173E-02
  1.601350350E-02  2.420558845E-02
  1.747406259E-02  2.306814598E-02
  1.893910617E-02  2.187763605E-02
  2.040670187E-02  2.065764753E-02
  2.187887656E-02  1.943747411E-02
  2.337502577E-02  1.822644238E-02
  2.488779743E-02  1.702325675E-02
  2.642045738E-02  1.582289418E-02
  2.797928289E-02  1.462321548E-02
  2.955716013E-02  1.341846979E-02
  3.116604078E-02  1.220549131E-02
  3.279133913E-02  1.098312762E-02
  3.442434662E-02  9.765774697E-03
  3.606920755E-02  8.570448789E-03
  3.772401609E-02  7.416523495E-03
  3.938179832E-02  6.324302810E-03
  4.105270814E-02  5.316705372E-03
  4.273557601E-02  4.411917662E-03
  4.443599447E-02  3.619035099E-03
  4.615697484E-02  2.943187799E-03
  4.789988588E-02  2.391671307E-03
  4.966838384E-02  1.970638826E-03
  5.146042933E-02  1.687427092E-03
  5.328994791E-02  1.549184759E-03
  5.519265864E-02  1.535685325E-03
  5.716414582E-02  1.535863109E-03
  5.917230105E-02  1.535876446E-03
  6.120797955E-02  1.535873473E-03
  6.327485155E-02  1.535873152E-03
  6.537710805E-02  1.535873199E-03
  6.750619039E-02  1.535873206E-03
  6.966474915E-02  1.535873205E-03
  7.185826784E-02  1.535873205E-03
  7.408383849E-02  1.535873205E-03
  7.634060990E-02  1.535873205E-03
  7.862843633E-02  1.535873205E-03
  8.094921695E-02  1.535873205E-03
  8.330503979E-02  1.535873205E-03
  8.569687255E-02  1.535873205E-03
  8.812401120E-02  1.535873205E-03
  9.058150426E-02  1.535873205E-03
  9.308128369E-02  1.535873205E-03
  9.561383564E-02  1.535873205E-03
  9.818147049E-02  1.535873205E-03
  1.007869382E-01  1.535873205E-03
  1.034280682E-01  1.535873205E-03
  1.061116735E-01  1.535873205E-03
  1.088268462E-01  1.535873205E-03
  1.115881650E-01  1.535873205E-03
  1.143898936E-01  1.535873205E-03
  1.172261927E-01  1.535873205E-03
  1.201088857E-01  1.535873205E-03
  1.230343818E-01  1.535873205E-03
  1.259909923E-01  1.535873205E-03
  1.289585989E-01  1.535873205E-03
  1.318843002E-01  1.535873205E-03
  1.347630110E-01  1.535873205E-03
  1.376039125E-01  1.535873205E-03
  1.404040119E-01  1.535873205E-03
  1.431652640E-01  1.535873205E-03
  1.458871297E-01  1.535873205E-03
  1.485658853E-01  1.535873205E-03
  1.512090701E-01  1.535873205E-03
  1.538130422E-01  1.535873205E-03
  1.563834540E-01  1.535873205E-03
  1.589173402E-01  1.535873205E-03
  1.614109030E-01  1.535873205E-03
  1.638680058E-01  1.535873205E-03
  1.662941450E-01  1.535873205E-03
  1.686801548E-01  1.535873205E-03
  1.710425058E-01  1.535873205E-03
  1.733648414E-01  1.535873205E-03
  1.756554215E-01  1.535873205E-03
  1.779128437E-01  1.535873205E-03
  1.801381377E-01  1.535873205E-03
  1.823291884E-01  1.535873205E-03
  1.844898879E-01  1.535873206E-03
  1.866218243E-01  1.535873199E-03
  1.887209695E-01  1.535873152E-03
  1.907912197E-01  1.535873472E-03
  1.928286056E-01  1.535876439E-03
  1.948353036E-01  1.535863132E-03
  1.968069963E-01  1.535685781E-03
  1.987101268E-01  1.549182539E-03
  2.005377103E-01  1.687442051E-03
  2.023285774E-01  1.970658459E-03
  2.040967485E-01  2.391701159E-03
  2.058426395E-01  2.943228447E-03
  2.075610951E-01  3.619088751E-03
  2.092641798E-01  4.411963862E-03
  2.109481084E-01  5.316762975E-03
  2.126188408E-01  6.324380956E-03
  2.142767342E-01  7.416598173E-03
  2.159324148E-01  8.570530911E-03
  2.175766688E-01  9.765861631E-03
  2.192115437E-01  1.098321806E-02
  2.208373036E-01  1.220559107E-02
  2.224397661E-01  1.341857256E-02
  2.240225299E-01  1.462330994E-02
  2.255751251E-01  1.582299886E-02
  2.271085977E-01  1.702335360E-02
  2.286254093E-01  1.822653935E-02
  2.301170884E-01  1.943757324E-02
  2.315871661E-01  2.065774593E-02
  2.330572538E-01  2.187773258E-02
  2.345221943E-01  2.306832407E-02
  2.359829297E-01  2.420567666E-02
  2.374432176E-01  2.526275549E-02
  2.389139949E-01  2.622694871E-02
  2.403971722E-01  2.707429378E-02
  2.418955298E-01  2.777606923E-02
  2.433986750E-01  2.830486713E-02
  2.448858307E-01  2.866305724E-02
  2.463535490E-01  2.888261153E-02
  2.477951164E-01  2.899680257E-02
  2.492176857E-01  2.902979620E-02
  2.506148294E-01  2.902982773E-02
  2.520000041E-01  2.902993935E-02
 -1.047740006E-09  2.958168273E-02
  1.393502281E-03  2.958157218E-02
  2.801085061E-03  2.958154096E-02
  4.246557577E-03  2.954887352E-02
  5.723796240E-03  2.943581024E-02
  7.233165016E-03  2.921833943E-02
  8.772504037E-03  2.886375469E-02
  1.032970996E-02  2.834005844E-02
  1.188492190E-02  2.764529690E-02
  1.341885769E-02  2.680630480E-02
  1.492864157E-02  2.585152249E-02
  1.642618600E-02  2.480488946E-02
  1.791757631E-02  2.367865970E-02
  1.940265731E-02  2.249988562E-02
  2.088441623E-02  2.129192353E-02
  2.236362590E-02  2.008377838E-02
  2.386531062E-02  1.888468480E-02
  2.538013510E-02  1.769335997E-02
  2.691513932E-02  1.650483036E-02
  2.847465286E-02  1.531697789E-02
  3.005640582E-02  1.412410838E-02
  3.166367791E-02  1.292308724E-02
  3.328787170E-02  1.171277340E-02
  3.491438212E-02  1.050742094E-02
  3.654624825E-02  9.323878352E-03
  3.818026847E-02  8.181328258E-03
  3.981116825E-02  7.099874499E-03
