#          FTT         Ub/Uref          Force*      Ma_max  accu_cnt      uu_RS_chk          k_chk     GPU_min          Error         CV_uu%          CV_k%   Conv
      0.000005    0.0000000571    0.0091676715    0.000000         0   0.000000e+00   0.000000e+00      0.0032   1.000000e+00  -1.000000e+00  -1.000000e+00      0
      0.000236    0.0000032102    0.0091676715    0.000000         0   0.000000e+00   0.000000e+00      0.0330   9.821993e-01  -1.000000e+00  -1.000000e+00      0
      0.000467    0.0000063776    0.0091676715    0.000000         0   0.000000e+00   0.000000e+00      0.0350   4.966394e-01  -1.000000e+00  -1.000000e+00      0
      0.000698    0.0000100298    0.0121320746    0.000000         0   0.000000e+00   0.000000e+00      0.0371   3.641334e-01  -1.000000e+00  -1.000000e+00      0
      0.000929    0.0000142462    0.0121320746    0.000000         0   0.000000e+00   0.000000e+00      0.0392   2.959695e-01  -1.000000e+00  -1.000000e+00      0
      0.001160    0.0000184931    0.0121320746    0.000001         0   0.000000e+00   0.000000e+00      0.0412   2.296478e-01  -1.000000e+00  -1.000000e+00      0
      0.001391    0.0000237506    0.0150964461    0.000001         0   0.000000e+00   0.000000e+00      0.0433   2.213622e-01  -1.000000e+00  -1.000000e+00      0
      0.001622    0.0000291121    0.0150964461    0.000001         0   0.000000e+00   0.000000e+00      0.0454   1.841673e-01  -1.000000e+00  -1.000000e+00      0
      0.001853    0.0000349677    0.0180607777    0.000001         0   0.000000e+00   0.000000e+00      0.0475   1.674551e-01  -1.000000e+00  -1.000000e+00      0
      0.002084    0.0000414744    0.0180607777    0.000001         0   0.000000e+00   0.000000e+00      0.0495   1.568867e-01  -1.000000e+00  -1.000000e+00      0
      0.002315    0.0000480524    0.0180607777    0.000002         0   0.000000e+00   0.000000e+00      0.0516   1.368913e-01  -1.000000e+00  -1.000000e+00      0
      0.002546    0.0000556369    0.0210250606    0.000002         0   0.000000e+00   0.000000e+00      0.0537   1.363220e-01  -1.000000e+00  -1.000000e+00      0
