[2026-05-15 00:34:14] [INFO] nan_monitor started for /home/s8313697/5.Re10595/Edit5_Rebuild
[2026-05-15 00:34:14] [INFO] Ma_max limit=0.15, poll=2.0s
[2026-05-15 00:34:14] [INFO] Tailing: slurm_50340.log
[2026-05-15 00:34:16] [INFO] Job 50340 round 2 started
[2026-05-15 00:34:16] [INFO] Restart from: restart/checkpoint/step_00000001
[2026-05-15 01:33:16] [INFO] Job ended normally (RC=124 SIGUSR1 chain)
[2026-05-15 01:42:23] [INFO] Log file ended/rotated, scanning for new log...
[2026-05-15 01:42:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:42:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:42:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:42:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:43:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:43:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:43:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:43:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:43:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:43:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:44:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:44:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:44:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:44:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:44:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:44:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:45:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:45:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:45:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:45:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:45:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:45:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:46:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:46:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:46:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:46:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:46:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:46:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:47:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:47:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:47:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:47:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:47:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:47:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:48:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:48:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:48:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:48:38] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:48:48] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:48:58] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:49:08] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:49:18] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:49:28] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:49:39] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:49:49] [INFO] No slurm log found yet, waiting...
[2026-05-15 01:49:59] [INFO] No slurm log found yet, waiting...
