# ═══════════════════════════════════════════════════════════════════════════════════════════════════
# Timing log — GILBM Periodic Hill (Re=5600, 129x257x129, 8 GPUs)
# Architecture: P0 v2 Buffer-first + Interior-MPI overlap, P1 16-dir packed MPI
# ═══════════════════════════════════════════════════════════════════════════════════════════════════
#
# Data types: [T] Total-cumul  [S] Session-cumul  [I] Interval(1000 steps)  [P] Point-sample
#
# Column definitions:
#   Step      [T] : Time step (1 iteration = 2 sub-steps: even+odd)
#   FTT       [T] : Flow-Through Time = step*dt/(LY/Uref)
#   GPU_min   [T] : Cumulative GPU time (min), CUDA Events, persists across restarts
#   Wall_min  [S] : Wall-clock since session start (min), MPI_Wtime
#   MLUPS     [P] : Instantaneous total MLUPS (8 GPUs), Jin definition
#   MLUPS/GPU [P] : Instantaneous per-GPU MLUPS (compare to Jin's 825+)
#   MLUPS_avg [S] : Session-average total MLUPS
#   MLUPSa/GPU[S] : Session-average per-GPU MLUPS
#   GPU_int_s [I] : GPU time for last reporting interval (seconds)
#
#   ── P0 v2 Kernel Breakdown (7 columns) ──
#
#   Timeline:  |<- Buf ->|<- max(Int,MPI) ->|<- PSW ->|
#               Phase 1     Phase 2          Phase 3
#               Buffer      Interior(str0)   periodic
#               (alone)     MPI(host/str1)     SW
#                            concurrent
#
#   Iter = Buf + max(Int, MPI) + PSW + overhead
#   Idle = max(0, Iter - Buf - Int - PSW)  [= MPI exposed time]
#
#   Buf_ms  [P] : Phase1 - Buffer kernel alone (MPI_Wtime)
#                  Left j=3..6, Right j=NYD6-7..NYD6-4, 142 blocks
#   Int_ms  [P] : Phase2-GPU - Interior kernel (cudaEvent, stream0)
#                  j=7..NYD6-8, 25 rows, concurrent with MPI
#   MPI_ms  [P] : Phase2-Host - Pack+MPI+Unpack actual (MPI_Wtime)
#                  16-dir packed persistent, concurrent with Interior
#   PSW_ms  [P] : Phase3 - periodicSW kernel (cudaEvent, stream0)
#                  eta-periodic BC, 10/19 dirs (delta_eta!=0 only)
#   Iter_ms [P] : Full sub-step (cudaEvent, stream0)
#   Idle_ms [P] : * CORE METRIC * = max(0, Iter-Buf-Int-PSW)
#                  =0 -> overlap SUCCESS, MPI fully hidden
#                  >0 -> MPI partially exposed on critical path
#   MC_ms   [P] : Mass correction between even/odd sub-steps (MPI_Wtime)
#
# MLUPS (Jin et al. 2025): pts/GPU=710775, MLUPS/GPU comparable to Jin's 825+
#
# Quick diagnostics:
#   Idle ~ 0           -> P0 overlap OK, MPI fully hidden by Interior
#   Idle > 0           -> MPI exposed, need faster Interior or less MPI
#   Int >> MPI         -> GPU-bound (normal), overlap has headroom
#   Int << MPI         -> MPI-bound, need comm optimization
#   Iter ~ Buf+Int+PSW -> perfect overlap (Idle~0)
#
# Output: every 1000 steps
#
#      Step       FTT   GPU_min  Wall_min      MLUPS  MLUPS/GPU  MLUPS_avg MLUPSa/GPU GPU_int_s    Buf_ms    Int_ms    MPI_ms    PSW_ms   Iter_ms   Idle_ms     MC_ms
#       [-]       [-]     [min]     [min]    [MLU/s]    [MLU/s]    [MLU/s]    [MLU/s]     [sec]      [ms]      [ms]      [ms]      [ms]      [ms]      [ms]      [ms]
# ───────────────────────────────────────────────────────────────────────────────────────────────────
         1    0.0000      0.00      0.00    2434.16     304.27      60.02       7.50     0.189     0.489     1.803     0.113     0.025     2.336     0.019     0.292
      1001    0.0046      0.07      0.07    2422.98     302.87    2625.14     328.14     4.147     0.485     1.817     0.104     0.025     2.347     0.019     0.055
      2001    0.0092      0.14      0.14    2434.26     304.28    2691.35     336.42     4.119     0.484     1.806     0.096     0.027     2.336     0.019     0.048
      3001    0.0139      0.21      0.21    2433.09     304.14    2747.44     343.43     3.967     0.481     1.813     0.086     0.025     2.337     0.019     0.042
      4001    0.0185      0.28      0.28    2440.11     305.01    2751.60     343.95     4.114     0.482     1.806     0.091     0.024     2.330     0.018     0.042
      5001    0.0231      0.34      0.34    2416.09     302.01    2757.61     344.70     4.088     0.483     1.827     0.097     0.025     2.353     0.018     0.054
      6001    0.0277      0.42      0.42    2422.25     302.78    2724.08     340.51     4.429     0.484     1.821     0.097     0.024     2.347     0.019     0.048
      7001    0.0324      0.49      0.49    2429.53     303.69    2710.11     338.76     4.325     0.484     1.813     0.097     0.025     2.340     0.018     0.035
      8001    0.0370      0.56      0.56    2417.87     302.23    2695.50     336.94     4.378     0.484     1.823     0.094     0.025     2.352     0.019     0.050
      9001    0.0416      0.63      0.63    2433.46     304.18    2696.14     337.02     4.210     0.480     1.813     0.099     0.026     2.337     0.018     0.044
     10001    0.0462      0.70      0.70    2433.36     304.17    2691.76     336.47     4.287     0.481     1.812     0.101     0.025     2.337     0.018     0.047
     11001    0.0508      0.78      0.78    2412.81     301.60    2687.97     336.00     4.291     0.482     1.815     0.098     0.040     2.357     0.019     0.063
     12001    0.0555      0.85      0.85    2428.94     303.62    2674.62     334.33     4.484     0.483     1.815     0.107     0.025     2.341     0.018     0.050
     13001    0.0601      0.93      0.93    2430.13     303.77    2661.99     332.75     4.514     0.487     1.809     0.111     0.026     2.340     0.018     0.055
     14001    0.0647      1.00      1.00    2428.54     303.57    2654.70     331.84     4.436     0.479     1.819     0.099     0.024     2.341     0.019     0.034
     15001    0.0693      1.07      1.07    2429.90     303.74    2647.14     330.89     4.467     0.480     1.816     0.109     0.025     2.340     0.019     0.033
     16001    0.0739      1.15      1.15    2430.27     303.78    2638.03     329.75     4.533     0.480     1.816     0.086     0.025     2.340     0.018     0.037
     17001    0.0786      1.22      1.22    2424.66     303.08    2630.88     328.86     4.510     0.482     1.820     0.096     0.025     2.345     0.018     0.049
     18001    0.0832      1.30      1.30    2425.26     303.16    2627.76     328.47     4.415     0.482     1.817     0.112     0.025     2.345     0.021     0.039
     19001    0.0878      1.37      1.37    2428.87     303.61    2621.68     327.71     4.518     0.484     1.814     0.093     0.025     2.341     0.019     0.059
     20001    0.0924      1.45      1.45    2436.46     304.56    2619.30     327.41     4.417     0.481     1.810     0.098     0.024     2.334     0.018     0.035
     21001    0.0971      1.52      1.52    2418.72     302.34    2617.43     327.18     4.407     0.481     1.826     0.101     0.025     2.351     0.018     0.045
     22001    0.1017      1.59      1.59    2425.79     303.22    2616.73     327.09     4.371     0.481     1.817     0.098     0.025     2.344     0.021     0.035
     23001    0.1063      1.67      1.67    2444.37     305.55    2612.55     326.57     4.506     0.482     1.801     0.095     0.026     2.326     0.018     0.040
